Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,N/A,FH 2,FH 3,e SpaceX missions and payloads,Demonstrations,logistics,Crewed,Commercial satellites,Scientific satellites,Military satellites,Rideshares,Transporter,Bandwagon,Flight tests,e SpaceX,Current,In development,Retired,Cancelled,Spacecraft,Cargo,Test vehicles,Landing sites,Other facilities,Support,Contracts,R&D programs,Key people,Related,e Spaceflight lists and timelines,General,People,Vehicles,Launches by rocket type,Launches by spaceport,"Agencies, companies and facilities",Other mission lists and timelines,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0003.18,Failure,4 June 2010,18:45
1,CCAFS,Dragon,0,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0004.18,Failure,8 December 2010,15:43
1,CCAFS,Dragon,525 kg,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0005.18,"No attempt
",22 May 2012,07:44
2,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0006.18,No attempt,8 October 2012,00:35
3,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0007.18,"No attempt
",1 March 2013,15:10
4,VAFB,CASSIOPE,500 kg,Polar orbit,"<a href=""/wiki/Maxar_Technologies"" title=""Maxar Technologies"">MDA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.17B10038,Uncontrolled,29 September 2013,16:00
5,CCAFS,SES-8,"3,170 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No attempt,3 December 2013,22:41
6,CCAFS,Thaicom 6,"3,325 kg",GTO,"<a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No attempt,6 January 2014,22:06
7,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Controlled,18 April 2014,19:25
8,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,"<a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Controlled,14 July 2014,15:15
9,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,"<a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No attempt,5 August 2014,08:00
10,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,"<a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,"No attempt
",7 September 2014,05:00
11,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,Uncontrolled,21 September 2014,05:52
12,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,Failure ,10 January 2015,09:47
13,Cape Canaveral,DSCOVR,570 kg,HEO,"<a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,Controlled,11 February 2015,23:03
14,Cape Canaveral,ABS-3A,"4,159 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/Asia_Broadcast_Satellite"" title=""Asia Broadcast Satellite"">ABS</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,No attempt,2 March 2015,03:50
15,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,Failure,14 April 2015,20:10
16,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,"<a href=""/wiki/Turkmenistan_National_Space_Agency"" title=""Turkmenistan National Space Agency"">Turkmenistan National<br/>Space Agency</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,No attempt,27 April 2015,23:03
17,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,Precluded,28 June 2015,14:21
18,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,"<a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,22 December 2015,01:29
19,VAFB,Jason-3,553 kg,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,Failure,17 January 2016,18:42
20,Cape Canaveral,SES-9,"5,271 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Failure,4 March 2016,23:35
21,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,8 April 2016,20:43
22,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,"<a href=""/wiki/SKY_Perfect_JSAT"" title=""SKY Perfect JSAT"">SKY Perfect JSAT Group</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,6 May 2016,05:21
23,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,"<a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,27 May 2016,21:39
24,Cape Canaveral,ABS-2A,"3,600 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/Asia_Broadcast_Satellite"" title=""Asia Broadcast Satellite"">ABS</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Failure,15 June 2016,14:29
25,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,18 July 2016,04:45
26,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SKY_Perfect_JSAT_Group"" title=""SKY Perfect JSAT Group"">SKY Perfect JSAT Group</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,14 August 2016,05:26
27,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,14 January 2017,17:54
28,KSC,SpaceX CRS-10,"2,490 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,19 February 2017,14:39
29,KSC,EchoStar 23,"5,600 kg",GTO,"<a href=""/wiki/EchoStar"" title=""EchoStar"">EchoStar</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,No attempt,16 March 2017,06:00
30,KSC,SES-10,"5,300 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT♺[,Success,30 March 2017,22:27
31,KSC,NROL-76,C,LEO,"<a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,1 May 2017,11:15
32,KSC,Inmarsat-5 F4,"6,070 kg",GTO,"<a href=""/wiki/Inmarsat"" title=""Inmarsat"">Inmarsat</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,No attempt,15 May 2017,23:21
33,KSC,SpaceX CRS-11,"2,708 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,3 June 2017,21:07
34,KSC,BulgariaSat-1,"3,669 kg",GTO,"<a href=""/wiki/Bulsatcom"" title=""Bulsatcom"">Bulsatcom</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1029.2195,Success,23 June 2017,19:10
35,VAFB,Iridium NEXT,"9,600 kg",LEO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,25 June 2017,20:25
36,KSC,Intelsat 35e,"6,761 kg",GTO,"<a href=""/wiki/Intelsat"" title=""Intelsat"">Intelsat</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,No attempt,5 July 2017,23:38
37,KSC,SpaceX CRS-12,"3,310 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,Success,14 August 2017,16:31
38,VAFB,Formosat-5,475 kg,SSO,"<a class=""mw-redirect"" href=""/wiki/National_Space_Organization"" title=""National Space Organization"">NSPO</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,24 August 2017,18:51
39,KSC,Boeing X-37B,"4,990 kg",LEO,"<a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,Success,7 September 2017,14:00
40,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,Success,9 October 2017,12:37
41,KSC,SES-11,"5,200 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES S.A.</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1031.2220,Success,11 October 2017,22:53:00
42,KSC,Koreasat 5A,"3,500 kg",GTO,"<a href=""/wiki/KT_Corporation"" title=""KT Corporation"">KT Corporation</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,Success,30 October 2017,19:34
43,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1035.2227,Success,15 December 2017,15:36
44,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1036.2227,Controlled,23 December 2017,01:27
45,CCAFS,Zuma,C,LEO,"<a href=""/wiki/Northrop_Grumman"" title=""Northrop Grumman"">Northrop Grumman</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,Success,8 January 2018,01:00
46,CCAFS,GovSat-1,"4,230 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1032.2245,Controlled,31 January 2018,21:25
47,VAFB,Paz,"2,150 kg",SSO,"<a href=""/wiki/Hisdesat"" title=""Hisdesat"">Hisdesat</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1038.2268,No attempt,22 February 2018,14:17
48,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,"<a href=""/wiki/Hispasat"" title=""Hispasat"">Hispasat</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,No attempt,6 March 2018,05:33
49,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4B1041.2268,No attempt,30 March 2018,14:14
50,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4B1039.2292,No attempt,2 April 2018,20:30
51,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,Success,18 April 2018,22:51
52,KSC,Bangabandhu-1,"3,600 kg",GTO,"<a href=""/wiki/Thales_Alenia_Space"" title=""Thales Alenia Space"">Thales-Alenia</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5311B1046.1268,Success,11 May 2018,20:14
53,VAFB,Iridium NEXT,"6,460 kg",Polar,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4B1043.2322,No attempt,22 May 2018,19:47
54,CCAFS,SES-12,"5,384 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4B1040.2268,No attempt,4 June 2018,04:45
55,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4B1045.2336,No attempt,29 June 2018,09:42
